,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
182,1d_resnet34,classification,1,25,0.0001,15,64,,1000,,0.6608287096023561,0.5700000000000001,0.77
183,1d_resnet34,classification,1,25,0.0001,15,64,,100,,0.67821204662323,0.56,0.77
184,1d_resnet34,classification,1,25,0.0001,15,64,,0,,0.651518762111663,0.56,0.77
185,1d_resnet34,classification,1,25,0.0001,15,64,,10000,,0.651519358158111,0.56,0.76
57,1d_resnet34,regression,2,25,0.0001,15,64,,10,-0.11327718764922501,179.0644989013672,0.65,0.84
58,1d_resnet34,regression,2,25,0.0001,15,64,,1000,-0.083867828111285,174.33416748046875,0.7000000000000001,0.87
59,1d_resnet34,regression,2,25,0.0001,15,64,,100,-0.130562060407815,181.8446807861328,0.7000000000000001,0.86
60,1d_resnet34,regression,2,25,0.0001,15,64,,0,-0.222118874886839,196.5710906982422,0.64,0.84
61,1d_resnet34,regression,2,25,0.0001,15,64,,10000,-0.180318001693085,189.84764099121094,0.66,0.8300000000000001
176,1d_resnet34,classification,2,25,0.0001,15,64,,10,,0.614961862564086,0.64,0.84
177,1d_resnet34,classification,2,25,0.0001,15,64,,1000,,0.642346620559692,0.62,0.81
178,1d_resnet34,classification,2,25,0.0001,15,64,,100,,0.62385082244873,0.64,0.85
179,1d_resnet34,classification,2,25,0.0001,15,64,,0,,0.6154371500015251,0.59,0.8
180,1d_resnet34,classification,2,25,0.0001,15,64,,10000,,0.6736402511596681,0.58,0.79
72,1d_resnet34,regression,4,25,0.0001,15,64,,10,-0.154553949399514,185.70364379882812,0.65,0.8300000000000001
73,1d_resnet34,regression,4,25,0.0001,15,64,,1000,-0.095880186565685,176.26629638671875,0.71,0.88
74,1d_resnet34,regression,4,25,0.0001,15,64,,100,-0.15830577940092402,186.30709838867188,0.71,0.88
75,1d_resnet34,regression,4,25,0.0001,15,64,,0,-0.147891159529892,184.63198852539062,0.64,0.8300000000000001
76,1d_resnet34,regression,4,25,0.0001,15,64,,10000,-0.19359934538572302,191.98387145996094,0.67,0.84
191,1d_resnet34,classification,4,25,0.0001,15,64,,10,,0.66180419921875,0.62,0.8
192,1d_resnet34,classification,4,25,0.0001,15,64,,1000,,0.673184156417846,0.64,0.8200000000000001
193,1d_resnet34,classification,4,25,0.0001,15,64,,100,,0.5936450958251951,0.6900000000000001,0.87
194,1d_resnet34,classification,4,25,0.0001,15,64,,0,,0.6763032674789421,0.65,0.84
195,1d_resnet34,classification,4,25,0.0001,15,64,,10000,,0.6676399111747741,0.62,0.81
77,1d_resnet34,regression,8,25,0.0001,15,64,,10,-0.023595816906868003,164.63975524902344,0.6900000000000001,0.85
78,1d_resnet34,regression,8,25,0.0001,15,64,,1000,-0.075070171365789,172.9191131591797,0.71,0.87
79,1d_resnet34,regression,8,25,0.0001,15,64,,100,-0.055840477505932004,169.8261260986328,0.7000000000000001,0.86
80,1d_resnet34,regression,8,25,0.0001,15,64,,0,0.025576087658371,156.730712890625,0.74,0.89
81,1d_resnet34,regression,8,25,0.0001,15,64,,10000,-0.039583713188859004,167.21131896972656,0.71,0.88
196,1d_resnet34,classification,8,25,0.0001,15,64,,10,,0.6271229982376091,0.68,0.85
197,1d_resnet34,classification,8,25,0.0001,15,64,,1000,,0.633768856525421,0.66,0.8300000000000001
198,1d_resnet34,classification,8,25,0.0001,15,64,,100,,0.679420411586761,0.65,0.8300000000000001
199,1d_resnet34,classification,8,25,0.0001,15,64,,0,,0.724297761917114,0.62,0.81
200,1d_resnet34,classification,8,25,0.0001,15,64,,10000,,0.72546362876892,0.61,0.81
67,1d_resnet34,regression,16,25,0.0001,15,64,,10,-0.123386879650691,180.69058227539062,0.7000000000000001,0.88
68,1d_resnet34,regression,16,25,0.0001,15,64,,1000,-0.0028447716281900003,161.3020477294922,0.73,0.87
69,1d_resnet34,regression,16,25,0.0001,15,64,,100,0.07288973917369801,149.1205596923828,0.75,0.9
70,1d_resnet34,regression,16,25,0.0001,15,64,,0,-0.052538434958517004,169.29501342773438,0.72,0.87
71,1d_resnet34,regression,16,25,0.0001,15,64,,10000,-0.08936582236530201,175.21849060058594,0.73,0.87
186,1d_resnet34,classification,16,25,0.0001,15,64,,10,,0.700246930122375,0.62,0.8300000000000001
187,1d_resnet34,classification,16,25,0.0001,15,64,,1000,,0.7450117468833921,0.6000000000000001,0.81
188,1d_resnet34,classification,16,25,0.0001,15,64,,100,,0.6998661160469051,0.64,0.84
189,1d_resnet34,classification,16,25,0.0001,15,64,,0,,0.6344023942947381,0.67,0.86
