,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
80,1d_resnet34,regression,8,100,0.0001,15,64,,0,0.486327273222791,75.8230209350586,0.85,0.9400000000000001
81,1d_resnet34,regression,8,100,0.0001,15,64,,10000,0.48530717523298705,75.97359466552734,0.86,0.9400000000000001
192,1d_resnet34,classification,8,100,0.0001,15,64,,10,,0.48699238896369906,0.75,0.88
193,1d_resnet34,classification,8,100,0.0001,15,64,,1000,,0.516309738159179,0.71,0.87
194,1d_resnet34,classification,8,100,0.0001,15,64,,100,,0.510136067867279,0.67,0.84
195,1d_resnet34,classification,8,100,0.0001,15,64,,0,,0.512406885623931,0.7000000000000001,0.86
196,1d_resnet34,classification,8,100,0.0001,15,64,,10000,,0.546533703804016,0.68,0.85
67,1d_resnet34,regression,16,100,0.0001,15,64,,10,0.519286032252914,70.95800018310547,0.88,0.9500000000000001
68,1d_resnet34,regression,16,100,0.0001,15,64,,1000,0.530749618553784,69.26585388183594,0.88,0.96
69,1d_resnet34,regression,16,100,0.0001,15,64,,100,0.503879902961301,73.23209381103516,0.87,0.9500000000000001
70,1d_resnet34,regression,16,100,0.0001,15,64,,0,0.5083763130302921,72.56837463378906,0.87,0.9500000000000001
71,1d_resnet34,regression,16,100,0.0001,15,64,,10000,0.5121797049464051,72.00695037841797,0.87,0.9500000000000001
182,1d_resnet34,classification,16,100,0.0001,15,64,,10,,0.506776869297027,0.72,0.87
183,1d_resnet34,classification,16,100,0.0001,15,64,,1000,,0.49653521180152804,0.72,0.86
184,1d_resnet34,classification,16,100,0.0001,15,64,,100,,0.494166582822799,0.72,0.88
185,1d_resnet34,classification,16,100,0.0001,15,64,,0,,0.50191181898117,0.75,0.88
186,1d_resnet34,classification,16,100,0.0001,15,64,,10000,,0.518690109252929,0.71,0.86
82,1d_resnet34,regression,32,100,0.0001,15,64,,10,0.5542058248577061,65.8034896850586,0.88,0.9500000000000001
83,1d_resnet34,regression,32,100,0.0001,15,64,,1000,0.5416926052927761,67.65055847167969,0.88,0.9500000000000001
84,1d_resnet34,regression,32,100,0.0001,15,64,,100,0.529924054081638,69.3877182006836,0.87,0.9500000000000001
85,1d_resnet34,regression,32,100,0.0001,15,64,,0,0.528286041620743,69.62950134277344,0.86,0.9400000000000001
86,1d_resnet34,regression,32,100,0.0001,15,64,,10000,0.529759188712791,69.41205596923828,0.87,0.9500000000000001
197,1d_resnet34,classification,32,100,0.0001,15,64,,10,,0.48872095346450806,0.74,0.87
198,1d_resnet34,classification,32,100,0.0001,15,64,,1000,,0.503869950771331,0.72,0.86
199,1d_resnet34,classification,32,100,0.0001,15,64,,100,,0.497507989406585,0.74,0.88
200,1d_resnet34,classification,32,100,0.0001,15,64,,0,,0.48909834027290305,0.76,0.89
201,1d_resnet34,classification,32,100,0.0001,15,64,,10000,,0.47130548954010004,0.75,0.88
5,2d_lstm_resnet34,regression,1,100,0.0001,15,64,,10,0.39722475932767903,88.97541046142578,0.81,0.92
6,2d_lstm_resnet34,regression,1,100,0.0001,15,64,,1000,0.40184517473935805,88.29338836669922,0.8200000000000001,0.93
7,2d_lstm_resnet34,regression,1,100,0.0001,15,64,,100,0.38119794022560105,91.34111785888672,0.8200000000000001,0.93
8,2d_lstm_resnet34,regression,1,100,0.0001,15,64,,0,0.38760068779038903,90.39600372314453,0.8200000000000001,0.92
9,2d_lstm_resnet34,regression,1,100,0.0001,15,64,,10000,0.40759816936081705,87.4441909790039,0.8300000000000001,0.93
122,2d_lstm_resnet34,classification,1,100,0.0001,15,64,,10,,0.522053301334381,0.67,0.85
123,2d_lstm_resnet34,classification,1,100,0.0001,15,64,,1000,,0.517757594585418,0.6900000000000001,0.86
124,2d_lstm_resnet34,classification,1,100,0.0001,15,64,,100,,0.52069091796875,0.68,0.86
125,2d_lstm_resnet34,classification,1,100,0.0001,15,64,,0,,0.531560838222503,0.66,0.85
126,2d_lstm_resnet34,classification,1,100,0.0001,15,64,,10000,,0.5240622758865351,0.67,0.85
0,2d_lstm_resnet34,regression,2,100,0.0001,15,64,,10,0.53613278273979,68.47124481201172,0.88,0.9500000000000001
1,2d_lstm_resnet34,regression,2,100,0.0001,15,64,,1000,0.529161668841529,69.50025177001953,0.88,0.9500000000000001
2,2d_lstm_resnet34,regression,2,100,0.0001,15,64,,100,0.527245921188497,69.78304290771484,0.88,0.9500000000000001
3,2d_lstm_resnet34,regression,2,100,0.0001,15,64,,0,0.534757139730889,68.67430877685547,0.88,0.9500000000000001
4,2d_lstm_resnet34,regression,2,100,0.0001,15,64,,10000,0.534158377262637,68.7626953125,0.88,0.9500000000000001
117,2d_lstm_resnet34,classification,2,100,0.0001,15,64,,10,,0.503955543041229,0.7000000000000001,0.87
118,2d_lstm_resnet34,classification,2,100,0.0001,15,64,,1000,,0.5161921381950371,0.68,0.86
119,2d_lstm_resnet34,classification,2,100,0.0001,15,64,,100,,0.49470973014831504,0.72,0.88
120,2d_lstm_resnet34,classification,2,100,0.0001,15,64,,0,,0.478561043739318,0.74,0.88
121,2d_lstm_resnet34,classification,2,100,0.0001,15,64,,10000,,0.49446865916252103,0.72,0.87
15,2d_lstm_resnet34,regression,4,100,0.0001,15,64,,10,0.6052793377147121,58.264556884765625,0.89,0.96
16,2d_lstm_resnet34,regression,4,100,0.0001,15,64,,1000,0.598833107128533,59.21607971191406,0.88,0.9500000000000001
17,2d_lstm_resnet34,regression,4,100,0.0001,15,64,,100,0.592832943051746,60.10175704956055,0.88,0.96
18,2d_lstm_resnet34,regression,4,100,0.0001,15,64,,0,0.595449759249507,59.71550369262695,0.89,0.96
19,2d_lstm_resnet34,regression,4,100,0.0001,15,64,,10000,0.609371401029365,57.660526275634766,0.89,0.96
132,2d_lstm_resnet34,classification,4,100,0.0001,15,64,,10,,0.446142822504043,0.79,0.92
133,2d_lstm_resnet34,classification,4,100,0.0001,15,64,,1000,,0.47145920991897505,0.75,0.89
134,2d_lstm_resnet34,classification,4,100,0.0001,15,64,,100,,0.46914175152778603,0.76,0.89
135,2d_lstm_resnet34,classification,4,100,0.0001,15,64,,0,,0.47154280543327304,0.76,0.9
136,2d_lstm_resnet34,classification,4,100,0.0001,15,64,,10000,,0.47983095049858004,0.75,0.89
20,2d_lstm_resnet34,regression,8,100,0.0001,15,64,,10,0.6422966666851331,52.800445556640625,0.91,0.96
21,2d_lstm_resnet34,regression,8,100,0.0001,15,64,,100,0.6438589868626601,52.56983184814453,0.9,0.96
22,2d_lstm_resnet34,regression,8,100,0.0001,15,64,,0,0.6448040342208561,52.43033218383789,0.9,0.96
23,2d_lstm_resnet34,regression,8,100,0.0001,15,64,,10000,0.6457371240259691,52.292598724365234,0.9,0.96
137,2d_lstm_resnet34,classification,8,100,0.0001,15,64,,10,,0.44866010546684204,0.8,0.91
138,2d_lstm_resnet34,classification,8,100,0.0001,15,64,,1000,,0.41981139779090804,0.8200000000000001,0.92
139,2d_lstm_resnet34,classification,8,100,0.0001,15,64,,100,,0.46508395671844405,0.77,0.9
140,2d_lstm_resnet34,classification,8,100,0.0001,15,64,,0,,0.44224852323532104,0.8,0.91
141,2d_lstm_resnet34,classification,8,100,0.0001,15,64,,10000,,0.44967699050903304,0.79,0.91
10,2d_lstm_resnet34,regression,16,100,0.0001,15,64,,10,0.6746702099697831,48.02179718017578,0.91,0.97
11,2d_lstm_resnet34,regression,16,100,0.0001,15,64,,1000,0.6414801262148391,52.92097091674805,0.91,0.97
12,2d_lstm_resnet34,regression,16,100,0.0001,15,64,,100,0.6627978954225,49.774269104003906,0.91,0.97
13,2d_lstm_resnet34,regression,16,100,0.0001,15,64,,0,0.6522690719088571,51.32842254638672,0.92,0.97
14,2d_lstm_resnet34,regression,16,100,0.0001,15,64,,10000,0.6696089179618411,48.76889419555664,0.92,0.97
127,2d_lstm_resnet34,classification,16,100,0.0001,15,64,,10,,0.44303923845291104,0.79,0.91
128,2d_lstm_resnet34,classification,16,100,0.0001,15,64,,1000,,0.440952479839324,0.8,0.92
129,2d_lstm_resnet34,classification,16,100,0.0001,15,64,,100,,0.44010263681411704,0.8,0.91
130,2d_lstm_resnet34,classification,16,100,0.0001,15,64,,0,,0.46305006742477406,0.78,0.9
131,2d_lstm_resnet34,classification,16,100,0.0001,15,64,,10000,,0.44069173932075506,0.8,0.91
24,2d_lstm_resnet34,regression,32,100,0.0001,15,64,,10,0.639053589862253,53.279151916503906,0.91,0.96
25,2d_lstm_resnet34,regression,32,100,0.0001,15,64,,100,0.640558507097837,53.05701446533203,0.91,0.97
26,2d_lstm_resnet34,regression,32,100,0.0001,15,64,,0,0.6542677560615,51.03339767456055,0.92,0.97
27,2d_lstm_resnet34,regression,32,100,0.0001,15,64,,10000,0.646554458774613,52.17195129394531,0.91,0.97
92,2d_resnet34,regression,1,100,0.0001,15,64,,10,0.356076579139655,95.04927062988281,0.81,0.92
93,2d_resnet34,regression,1,100,0.0001,15,64,,1000,0.33313356252792403,98.43588256835938,0.81,0.92
94,2d_resnet34,regression,1,100,0.0001,15,64,,100,0.345538458028605,96.60479736328125,0.81,0.92
